Testing v8 version different from logging version
Statistical profiling result from isolate-0x7a8c21b99040-1-v8.log, (35871 ticks, 220 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Builtin: SetIteratorPrototypeNext
      1    0.0%    0.0%  Builtin: RunMicrotasks
      1    0.0%    0.0%  Builtin: ReflectApply
      1    0.0%    0.0%  Builtin: ParseInt
      1    0.0%    0.0%  Builtin: OrdinaryToPrimitive_String
      1    0.0%    0.0%  Builtin: NonPrimitiveToPrimitive_Default
      1    0.0%    0.0%  Builtin: MapIteratorPrototypeNext
      1    0.0%    0.0%  Builtin: LoadSuperIC
      1    0.0%    0.0%  Builtin: LessThanOrEqual
      1    0.0%    0.0%  Builtin: KeyedStoreICTrampoline
      1    0.0%    0.0%  Builtin: GreaterThan_Baseline
      1    0.0%    0.0%  Builtin: GetIteratorBaseline
      1    0.0%    0.0%  Builtin: FunctionPrototypeCall
      1    0.0%    0.0%  Builtin: FastNewSloppyArguments
      1    0.0%    0.0%  Builtin: DeleteProperty
      1    0.0%    0.0%  Builtin: ConstructFunction
      1    0.0%    0.0%  Builtin: BitwiseXor_Baseline
      1    0.0%    0.0%  Builtin: BitwiseOrSmi_Baseline
      1    0.0%    0.0%  Builtin: BitwiseAndSmi_Baseline
      1    0.0%    0.0%  Builtin: AsyncFunctionEnter
      1    0.0%    0.0%  Builtin: ArraySingleArgumentConstructor_Holey_DisableAllocationSites
      1    0.0%    0.0%  Builtin: ArrayPrototypeValues
      1    0.0%    0.0%  Builtin: ArrayPrototypePop
