Testing v8 version different from logging version
Statistical profiling result from isolate-0x7867bc665040-1-v8.log, (37088 ticks, 96 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  JS: ^emitAfterScript node:internal/async_hooks:517:25
      1    0.0%    0.0%  JS: ^detachSocket node:_http_server:293:62
      1    0.0%    0.0%  JS: ^destroy node:internal/streams/destroy:48:17
      1    0.0%    0.0%  JS: ^createSocket node:_http_agent:310:53
      1    0.0%    0.0%  JS: ^connectionListener node:_http_server:644:28
      1    0.0%    0.0%  JS: ^compact /app/node_modules/qs/lib/utils.js:190:31
      1    0.0%    0.0%  JS: ^cleanParser node:_http_common:227:21
      1    0.0%    0.0%  JS: ^checkError node:internal/streams/destroy:32:20
      1    0.0%    0.0%  JS: ^assignSocket node:_http_server:282:62
      1    0.0%    0.0%  JS: ^arrayClone node:events:894:20
      1    0.0%    0.0%  JS: ^alloc node:internal/freelist:15:8
      1    0.0%    0.0%  JS: ^afterShutdown node:net:539:23
      1    0.0%    0.0%  JS: ^afterConnect node:net:1548:22
      1    0.0%    0.0%  JS: ^adjustOffset node:buffer:1131:22
      1    0.0%    0.0%  JS: ^_writeRaw node:_http_outgoing:428:19
      1    0.0%    0.0%  JS: ^_storeHeader node:_http_outgoing:458:22
      1    0.0%    0.0%  JS: ^_flushOutput node:_http_outgoing:1183:63
      1    0.0%    0.0%  JS: ^_finish node:_http_server:232:52
      1    0.0%    0.0%  JS: ^_encode /app/node_modules/notepack.io/lib/encode.js:49:17
      1    0.0%    0.0%  JS: ^_destroy node:internal/streams/destroy:89:18
      1    0.0%    0.0%  JS: ^_destroy node:_http_incoming:221:55
      1    0.0%    0.0%  JS: ^_addListener node:events:547:22
      1    0.0%    0.0%  JS: ^_addHeaderLines node:_http_incoming:247:25
      1    0.0%    0.0%  JS: ^Socket.setNoDelay node:net:593:39
      1    0.0%    0.0%  JS: ^Socket.destroySoon node:net:783:40
      1    0.0%    0.0%  JS: ^ServerResponse node:_http_server:195:24
      1    0.0%    0.0%  JS: ^ReadableState node:internal/streams/readable:260:23
      1    0.0%    0.0%  JS: ^Readable.unpipe node:internal/streams/readable:1090:37
      1    0.0%    0.0%  JS: ^Readable.removeListener node:internal/streams/readable:1157:45
      1    0.0%    0.0%  JS: ^Readable.pause node:internal/streams/readable:1265:36
      1    0.0%    0.0%  JS: ^OutgoingMessage.uncork node:_http_outgoing:326:44
      1    0.0%    0.0%  JS: ^FastBuffer node:internal/buffer:960:14
      1    0.0%    0.0%  JS: ^<anonymous> node:internal/util:519:18
      1    0.0%    0.0%  JS: ^<anonymous> /app/node_modules/http-proxy/lib/http-proxy/passes/web-incoming.js:183:37
      1    0.0%    0.0%  JS: ^<anonymous> /app/node_modules/http-proxy/lib/http-proxy/index.js:31:20
      1    0.0%    0.0%  JS: *utf8Length /app/node_modules/notepack.io/lib/encode.js:31:20
      1    0.0%    0.0%  JS: *urlParse node:url:126:18
      1    0.0%    0.0%  JS: *strictCheck /app/node_modules/is-glob/index.js:10:27
      1    0.0%    0.0%  JS: *set node:internal/streams/writable:124:8
      1    0.0%    0.0%  JS: *resolve node:path:1095:10
      1    0.0%    0.0%  JS: *parseurl /app/node_modules/parseurl/index.js:35:19
      1    0.0%    0.0%  JS: *parseQueryStringKeys /app/node_modules/qs/lib/parse.js:150:46
      1    0.0%    0.0%  JS: *onend node:internal/streams/readable:944:17
      1    0.0%    0.0%  JS: *onconnection node:net:2104:22
      1    0.0%    0.0%  JS: *onParserExecute node:_http_server:829:25
      1    0.0%    0.0%  JS: *onError node:_http_incoming:442:17
      1    0.0%    0.0%  JS: *onDestroy node:internal/streams/destroy:92:21
      1    0.0%    0.0%  JS: *normalizeString node:path:66:25
      1    0.0%    0.0%  JS: *nop node:internal/streams/writable:87:13
      1    0.0%    0.0%  JS: *isURL node:internal/url:765:15
      1    0.0%    0.0%  JS: *initSocketHandle node:net:309:26
      1    0.0%    0.0%  JS: *hasHooks node:internal/async_hooks:470:18
      1    0.0%    0.0%  JS: *getOptionValue node:internal/options:44:24
      1    0.0%    0.0%  JS: *getHighWaterMark node:internal/streams/state:32:26
      1    0.0%    0.0%  JS: *get node:internal/streams/writable:1000:8
      1    0.0%    0.0%  JS: *get node:internal/streams/readable:1540:8
      1    0.0%    0.0%  JS: *get node:internal/streams/readable:1413:8
      1    0.0%    0.0%  JS: *get node:_http_outgoing:860:16
      1    0.0%    0.0%  JS: *emitAfterScript node:internal/async_hooks:517:25
      1    0.0%    0.0%  JS: *defaultTriggerAsyncIdScope node:internal/async_hooks:455:36
      1    0.0%    0.0%  JS: *customRouter /app/index.js:102:22
      1    0.0%    0.0%  JS: *connectionCorkNT node:_http_outgoing:1004:26
      1    0.0%    0.0%  JS: *callback node:internal/streams/writable:754:63
      1    0.0%    0.0%  JS: *alloc node:internal/freelist:15:8
      1    0.0%    0.0%  JS: *afterWriteDispatched node:internal/stream_base_commons:155:30
      1    0.0%    0.0%  JS: *_destroy node:internal/streams/destroy:89:18
